,movie_cnt,movie_title,age,reviews,sent_number
2518,339번,Barbie and the Secret Door,7,This show is very traumatising for children under the age of 18 it has some really cringe moments and can be very scary at times  and it is has way too much violence because the unicorns horns get ripped off sometimes the fairies wings this show is cruel to the unicorns,2
2519,339번,Barbie and the Secret Door,7,One of the best movies Ive ever seen appropriate for all ages in my opinion,1
2520,339번,Barbie and the Secret Door,7,It is very creative  I also think it is magical and funny   It has some cute creatures in it  It is different than most Barbie movies,4
2581,350번,Barbie Mariposa & the Fairy Princess,6,Loved the message the art style the writing and most of all I loved the chemistry between Mariposa and Katiana  I think Willa and Carlos might become something in the future but I mean PLEASE  Katiana showed Mari her favourite place gave Mari special gifts they went on adventures  now come on now  Im gonna ignore that the movie wanted us to believe that Carlos Mari are  made for eachother  Plus near the beginning of the movie mari even rolled her eyes when zee zee suggested the crush so     yeah 3 I happy,6
2582,350번,Barbie Mariposa & the Fairy Princess,6,Mariposa and the fairy princess is a good movie for kids 3 or higher  They set good role models of being nice and that the best way to make a friend is to be a friend,2
2887,361번,Batman vs. Robin,8,I think this movie was great but too much blood and gore especially when the villain took out the toy makers heart,1
2888,361번,Batman vs. Robin,8,Young and old rich and poor Batman geeks and normal people all will be disappointed at this DC Universe film,1
2889,361번,Batman vs. Robin,8,Ok sorry about my earlier review on this movie it was inaccurate  My mind has changed on several things  This movie is awesome and trying very hard to get several points across which youll have to figure out what its saying for yourself  This isnt a kids cartoon its a teen movie thats a morality tale ethical and esoteric in  many ways  I want you to watch this but only if youll understand it,5
2890,361번,Batman vs. Robin,8,I think that this movie is super violent there is a scene where a kid is getting punched by his dad and there is cruelty to animals when bruce wayne young shoots an arrow at an owl and kills it   And a guy gets his heart ripped out,2
2891,361번,Batman vs. Robin,8,My rating R for strong shockingdisturbing violence,1
3221,389번,Beetlejuice,8,it is michael keaton at his best,1
3222,389번,Beetlejuice,8,Its a reasonably good film though having seen Burtons other work I dont personally hold it in as high esteem as say Corpse Bride or Edward Scissorhands ,1
3223,389번,Beetlejuice,8,beetlejuice walks into a strip club  He walks in from the outside so we dont see inside the club at all   says a fword  some skeletons not scary,4
3224,389번,Beetlejuice,8,The only thing that got to me is beetlejuice saying Nice ing model and st but I say Dont show this to kids they will get foul mouthed,1
3225,389번,Beetlejuice,8,This is one of the weirdest WinnieThePoohRideatDisneyWorldlike Burtonist movies I have ever seen  I enjoyed the comedic presence of Beetleguse and wish he was in it for more of the movie and I thought all of the main actors were great  The story is just so weird I cant seem to love it,3
3226,389번,Beetlejuice,8,I think this is a great movie  But it is still best for older kids  Beetlejuice has a creepy look that can easily scare younger kids  Infrequent use of mild to moderate language except for 2 uses of fk includes the H word and one use of st  Because of the F and S words I think it shouldve gotten a PG13 rating since it was released late enough  But this is a really funny movie that I would recommend for Tim Burton and Halloween fans 11 and up,5
3227,389번,Beetlejuice,8,I watched this when I was around 6 so I didnt really understand what was going on but I do highly remember the fact that a ghost has a slit through someone has slit wrists and the rip their faces clean off  This isnt scary but if you have an easy to break stomach do not watch this,2
3228,389번,Beetlejuice,8,Has some swearing including the Fbomb and others  Not that scary in violence but some gore  Also a lot of smoking and drinking and some drugs,3
3229,389번,Beetlejuice,8,I wasnt allowed to watch this movie until last year I dont know what version this is but the version I watched was a 15,2
3230,389번,Beetlejuice,8,An epic family comedy for all to enjoy Its a fun movie with a hint of creepieness  And though there isnt much swearing when there is it is pretty bad and there is a scene where they find a ghost hung in a closet and it deffinently made me jump There are lots of people that have been graphically injured in some way but the way they look is only laughable  There is nothing that tweens cant laugh at and I think the official 15 rating makes no sense and I think that a 12 A or PG 13 for you Americans rating would make much more sense  Over all its a great family movie for all to enjoy,6
3416,407번,Benji,5,I remember watching this when i was younger and I really liked it mainly for its music though the scene where the kidnappers kill Benjis love interest is kinda violent for a Grated movie,1
3417,407번,Benji,5,We watched this movie  school and it was good UNTIL the girlfriend dog gets kicked  We did not get to watch the end so everybody thought the girlfriend dog died   Over all it was very cute  ,4
3418,407번,Benji,5,My 5 year old is pretty sensitive kid and we were caught offguard when there was a real gun firing when the children were kidnapped and gagged and when Benjis little sweetheart dog was kicked by a grownup   Of course my memories of it as a child were pretty benign but found it jolting to watch it with my little one   Were still stuck on Sound of Music and Singin in the Rain,3
3576,423번,Big Hero 6,6,Great animated comedy is fun for the family,1
3577,423번,Big Hero 6,6,I was 6 when I saw this and I was a diehard Elsa fangirl who wanted to see this movie because the trailer mentioned Frozen,1
3578,423번,Big Hero 6,6,I think Big Hero 6 is a good movie and it is ok for a 4 year old  It teaches about science and robotics  This movie is one of my favorite Disney movies and I recommend it for the whole family to watch,3
3579,423번,Big Hero 6,6,Big Hero 6 is a great family movie packed with the right amount of intensity and funniness  Having an amazing story line and characters but also containing some rather violent scenes  The Bad guy betrays the main characters Hero and his friends after his daughter to what seems gets lost in time   When at first being friendly character then later on in the movie at surprise scene his identity gets revealed after his mask comes off  These scenescontent possibly being a little intense for younger viewers  The main characters also getting beaten up quite frequently in those scenes not showing any blood or struggle pain scenes  Also the main characters older brother dying early on in a fire which could be hard on younger viewers as well  One PART TO DEFINITELY WATCH OUT FOR is when spoiler FYI Bay max technically sacrifices himself to save Hero and another character  This always tends to be quite sad even if you have watched the movie before  I was about 8 years old when I first watched this movie and was extremely sad  when scene occurred  Just saying I assume for most kids it would be sad in the moment then breeze by after but if your child takes things deeper  I would recommend watching the scene first before showing your child or bring some tissues  Overall being a fantastic movie almost guaranty you will enjoy this one no matter the age   Highly recommend this one,14
3580,423번,Big Hero 6,6,Although Hiros brother dies the rest of the movie is awesome I showed this to my 2 and 3 year old cousins and they loved it so much that they begged my aunty to watch it the next morning great family movie great  for kids of all ages,1
3581,423번,Big Hero 6,6,This movie is really good  Like really good  Stop what you are doing and WATCH IT,3
3582,423번,Big Hero 6,6,Funny educational great messages and role models no swearing may scare younger kids intense  violence,1
3583,423번,Big Hero 6,6,This is the second best kids action the ending is sad then becomes happy hope they make a second one,1
3584,423번,Big Hero 6,6,this movie is so good but a little sad but cool ,1
3876,429번,Billy Elliot,8,Great movie has strong language  A touching film  that clearly displays the life of an eleven year old boy fighting for his dreams amidst all the chaos of an 1980s miners strike  The film defies gender stereotypes and gives a message to kids and teens to just do what you love and dont let anyone the conditions youre in or the amount of money you have stop you,3
3877,429번,Billy Elliot,8,Fair about of fbombs but I think Its well worth it for the story,1
3878,429번,Billy Elliot,8,Billy elliot is bad  The language is not that bad with about 30 fwords   The violence is mild but a brief sight of blood could set sensitive people off  Some heated arguments  I actually thought there was a lot more sexual content than everyone said  I girl asks a boy if he wants to see her fanny vagina and they start kissing sensually,6
